movieId,imdbId,tmdbId
152760,,152760
2756,,2756
33909,,33909
49017,,49017
9882,,9882
2270,,2270
978,,978
44564,,44564
3132,,3132
8814,,8814
8427,,8427
52520,,52520
80585,,80585
10592,,10592
49021,,49021
11535,,11535
10550,,10550
11258,,11258
12610,,12610
59981,,59981
201088,,201088
5137,,5137
3093,,3093
107846,,107846
188207,,188207
4614,,4614
24021,,24021
11371,,11371
20352,,20352
11517,,11517
214756,,214756
26428,,26428
9824,,9824
48988,,48988
9008,,9008
300673,,300673
12113,,12113
38778,,38778
72331,,72331
1844,,1844
846,,846
9703,,9703
857,,857
136797,,136797
3981,,3981
425,,425
6171,,6171
72976,,72976
603,,603
568,,568
9021,,9021
82695,,82695
9489,,9489
12133,,12133
9342,,9342
41733,,41733
227306,,227306
5551,,5551
9350,,9350
9208,,9208
4244,,4244
1852,,1852
11820,,11820
76493,,76493
345,,345
196867,,196867
256591,,256591
59962,,59962
36648,,36648
1880,,1880
9440,,9440
71679,,71679
10483,,10483
11412,,11412
11983,,11983
6795,,6795
550,,550
11170,,11170
9292,,9292
10783,,10783
100241,,100241
257,,257
9947,,9947
189,,189
12618,,12618
253412,,253412
1427,,1427
818,,818
16577,,16577
329,,329
12160,,12160
9331,,9331
300168,,300168
9072,,9072
3536,,3536
9087,,9087
12177,,12177
12138,,12138
273248,,273248
9955,,9955
50359,,50359
1271,,1271
693,,693
14306,,14306
497,,497
11199,,11199
9982,,9982
210577,,210577
2501,,2501
710,,710
2275,,2275
37165,,37165
9837,,9837
10708,,10708
136400,,136400
10992,,10992
9654,,9654
2642,,2642
8916,,8916
19899,,19899
2119,,2119
9641,,9641
294254,,294254
38167,,38167
5994,,5994
39514,,39514
9563,,9563
547,,547
1538,,1538
9334,,9334
11128,,11128
75780,,75780
8914,,8914
13576,,13576
39538,,39538
10628,,10628
14836,,14836
8645,,8645
9509,,9509
10067,,10067
9384,,9384
9279,,9279
1487,,1487
9422,,9422
77174,,77174
4824,,4824
9620,,9620
9302,,9302
10199,,10199
10771,,10771
3512,,3512
137094,,137094
274479,,274479
267860,,267860
8078,,8078
7485,,7485
170687,,170687
6435,,6435
137106,,137106
10040,,10040
6278,,6278
82682,,82682
17610,,17610
22954,,22954
16995,,16995
16558,,16558
9849,,9849
5820,,5820
16866,,16866
201,,201
11775,,11775
87825,,87825
12201,,12201
11015,,11015
9932,,9932
13389,,13389
8838,,8838
17332,,17332
4958,,4958
786,,786
9513,,9513
11679,,11679
38321,,38321
14411,,14411
8413,,8413
10052,,10052
9676,,9676
9664,,9664
2100,,2100
10384,,10384
137321,,137321
123553,,123553
11260,,11260
9009,,9009
11374,,11374
2309,,2309
8285,,8285
210860,,210860
2312,,2312
9839,,9839
381902,,381902
13922,,13922
293660,,293660
9713,,9713
190859,,190859
257445,,257445
9007,,9007
889,,889
1370,,1370
4942,,4942
347969,,347969
24438,,24438
116741,,116741
35791,,35791
72431,,72431
1813,,1813
87428,,87428
8840,,8840
10589,,10589
71676,,71676
1722,,1722
10022,,10022
11358,,11358
13,,13
6477,,6477
1597,,1597
10530,,10530
1924,,1924
9327,,9327
8488,,8488
10603,,10603
8273,,8273
109424,,109424
35056,,35056
8839,,8839
156022,,156022
